,DATA_AS_AT,TRANSACTION_ID,EXPENDITURE,STATE,JSKR_LINKAGE_KEY,STREAM_PLACEMENT_DESC,EF_CATEGORY_DESCRIPTION,DERIVED_DATE_OF_SERVICE,ACTIVITY_TYPE_DESC,ACTIVITY_SUB_DESC,EDUCATION_LEVEL_DESC,GENDER,INDIGENOUS,HOMELESS,PWD,CALD,REFUGEE,EX_OFFENDER,AGE_GROUP,UE_GROUP,year,month,year_month,EDUCATION_ADJ,EF_CATEGORY_ADJ
10597,5/08/2018,1571367J,50.0,WA ,6769,Stream B,Job Seeker Transport,17/02/2017,,,Primary school or less than Year 10,Female,1.0,1.0,,,,1.0,Under 22 years,Under 12 Months,2017,2,Feb-17,<Year 10,Transport
10598,5/08/2018,1872307J,286.0,WA ,6769,Stream B,Driving Lessons,8/05/2017,,,Primary school or less than Year 10,Female,1.0,1.0,,,,1.0,22 to 24 years,Under 12 Months,2017,5,May-17,<Year 10,Driving Lessons
10599,5/08/2018,2013409J,145.0,WA ,6769,Stream B,Clothing and Presentation,5/06/2017,,,Primary school or less than Year 10,Female,1.0,1.0,,,,1.0,22 to 24 years,Under 12 Months,2017,6,Jun-17,<Year 10,Clothing
10600,5/08/2018,1773298J,55.0,WA ,6769,Stream B,Job Seeker Transport,11/04/2017,,,Primary school or less than Year 10,Female,1.0,1.0,,,,1.0,22 to 24 years,Under 12 Months,2017,4,Apr-17,<Year 10,Transport
10601,5/08/2018,1924167J,40.0,WA ,6769,Stream B,Clothing and Presentation,19/05/2017,,,Primary school or less than Year 10,Female,1.0,1.0,,,,1.0,22 to 24 years,Under 12 Months,2017,5,May-17,<Year 10,Clothing
10729,5/08/2018,2061360J,150.0,NSW,6851,Stream B,Professional Services,20/06/2017,,,Secondary schooling completed (Year 12/13),Male,1.0,1.0,1.0,,,1.0,30 to 39 years,24 to 59 Months,2017,6,Jun-17,Year 12/13,Prof Service
10730,5/08/2018,1949211J,150.0,NSW,6851,Stream B,Professional Services,23/05/2017,,,Secondary schooling completed (Year 12/13),Male,1.0,1.0,1.0,,,1.0,30 to 39 years,24 to 59 Months,2017,5,May-17,Year 12/13,Prof Service
10731,5/08/2018,1885479J,150.0,NSW,6851,Stream B,Professional Services,2/05/2017,,,Secondary schooling completed (Year 12/13),Male,1.0,1.0,1.0,,,1.0,30 to 39 years,24 to 59 Months,2017,5,May-17,Year 12/13,Prof Service
10732,5/08/2018,1737520J,150.0,NSW,6851,Stream B,Professional Services,30/03/2017,,,Secondary schooling completed (Year 12/13),Male,1.0,1.0,1.0,,,1.0,30 to 39 years,24 to 59 Months,2017,3,Mar-17,Year 12/13,Prof Service
12524,5/08/2018,1479958J,39.0,WA ,8103,Stream B,"Food, Phone and Petrol Cards/Vouchers",25/01/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,22 to 24 years,24 to 59 Months,2017,1,Jan-17,Year 10/11,Cash Cards/Vouchers
12560,5/08/2018,1450008J,330.0,NT ,8117,Stream B,Targeted Pre-Employment Preparation,17/01/2017,Non-Accredited Education and Training (Vocational),Pre-Employment Training,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,40 to 49 years,12 to 23 Months,2017,1,Jan-17,<Year 10,Pre-Employ Prep
12561,5/08/2018,1519747J,139.0,NT ,8117,Stream B,Job Seeker Transport,25/01/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,40 to 49 years,24 to 59 Months,2017,1,Jan-17,<Year 10,Transport
14248,5/08/2018,1613098J,528.0,VIC,9163,Stream B,Accredited Training,18/01/2017,Accredited Education and Training (Vocational),Certificate 3,Year 10/11,Female,1.0,1.0,,,,1.0,30 to 39 years,12 to 23 Months,2017,1,Jan-17,Year 10/11,Accredited Training
14813,5/08/2018,1631162J,112.5,WA ,9512,Stream B,Professional Services,8/03/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,25 to 29 years,24 to 59 Months,2017,3,Mar-17,Year 10/11,Prof Service
15312,5/08/2018,1711928J,1.76,TAS,9824,Stream C,Job Seeker Transport,21/02/2017,,,Year 10/11,Male,1.0,1.0,1.0,,,1.0,40 to 49 years,24 to 59 Months,2017,2,Feb-17,Year 10/11,Transport
15594,5/08/2018,1435489J,125.4,TAS,10024,Stream C,Professional Services,12/01/2017,,,Non-trade vocational education,Female,1.0,1.0,1.0,,,1.0,Under 22 years,24 to 59 Months,2017,1,Jan-17,Non-trade vocational education,Prof Service
15596,5/08/2018,1935000J,125.4,TAS,10024,Stream C,Professional Services,24/05/2017,,,Non-trade vocational education,Female,1.0,1.0,1.0,,,1.0,Under 22 years,24 to 59 Months,2017,5,May-17,Non-trade vocational education,Prof Service
15881,5/08/2018,1485845J,150.0,WA ,10174,Stream B,Professional Services,27/01/2017,,,Primary school or less than Year 10,Male,1.0,1.0,1.0,,,1.0,30 to 39 years,12 to 23 Months,2017,1,Jan-17,<Year 10,Prof Service
15882,5/08/2018,2034145J,330.0,WA ,10174,Stream B,Targeted Pre-Employment Preparation,9/06/2017,Non-Accredited Education and Training (Vocational),Pre-Employment Training,Primary school or less than Year 10,Male,1.0,1.0,1.0,,,1.0,30 to 39 years,12 to 23 Months,2017,6,Jun-17,<Year 10,Pre-Employ Prep
16523,5/08/2018,2040855J,33.0,WA ,10593,Stream C,"Food, Phone and Petrol Cards/Vouchers",8/05/2017,,,Primary school or less than Year 10,Male,1.0,1.0,1.0,,,1.0,25 to 29 years,Under 12 Months,2017,5,May-17,<Year 10,Cash Cards/Vouchers
17001,5/08/2018,2045581J,528.0,QLD,10925,Stream C,Accredited Training,26/05/2017,Accredited Education and Training (Vocational),Certificate 3,Year 10/11,Male,1.0,1.0,,,,1.0,22 to 24 years,Under 12 Months,2017,5,May-17,Year 10/11,Accredited Training
17025,5/08/2018,2019452J,71.5,QLD,10944,Stream C,Work Related Licencing,21/04/2017,,,Year 10/11,Male,1.0,1.0,1.0,,,1.0,30 to 39 years,60+ Months,2017,4,Apr-17,Year 10/11,Work Licensing
17566,5/08/2018,1702761J,528.0,VIC,11329,Stream C,Accredited Training,23/01/2017,Accredited Education and Training (Vocational),Certificate 3,Primary school or less than Year 10,Female,1.0,1.0,1.0,,,1.0,30 to 39 years,12 to 23 Months,2017,1,Jan-17,<Year 10,Accredited Training
17896,5/08/2018,2106109J,52.25,QLD,11498,Stream C,"Food, Phone and Petrol Cards/Vouchers",28/06/2017,,,Primary school or less than Year 10,Male,1.0,1.0,1.0,,,1.0,25 to 29 years,60+ Months,2017,6,Jun-17,<Year 10,Cash Cards/Vouchers
17956,5/08/2018,2014640J,125.4,SA ,11538,Stream C,Professional Services,7/06/2017,,,Graduate Diploma or equivalent,Male,1.0,1.0,1.0,,,1.0,40 to 49 years,24 to 59 Months,2017,6,Jun-17,Grad Diploma/Cert,Prof Service
17957,5/08/2018,2069949J,125.4,SA ,11538,Stream C,Professional Services,21/06/2017,,,Graduate Diploma or equivalent,Male,1.0,1.0,1.0,,,1.0,40 to 49 years,24 to 59 Months,2017,6,Jun-17,Grad Diploma/Cert,Prof Service
18027,5/08/2018,1907541J,112.5,WA ,11596,Stream B,Professional Services,17/05/2017,,,Year 10/11,Male,1.0,1.0,1.0,,,1.0,40 to 49 years,60+ Months,2017,5,May-17,Year 10/11,Prof Service
18173,5/08/2018,1514068J,22.0,SA ,11687,Stream C,"Food, Phone and Petrol Cards/Vouchers",18/01/2017,,,Non-trade vocational education,Male,1.0,1.0,1.0,,,1.0,40 to 49 years,Under 12 Months,2017,1,Jan-17,Non-trade vocational education,Cash Cards/Vouchers
18174,5/08/2018,1471209J,129.0,SA ,11687,Stream C,"Tools, Books, Equipment and Mobile Phones",17/01/2017,,,Non-trade vocational education,Male,1.0,1.0,1.0,,,1.0,40 to 49 years,Under 12 Months,2017,1,Jan-17,Non-trade vocational education,Other Items
18175,5/08/2018,1883578J,110.0,SA ,11687,Stream C,Work Related Licencing,13/04/2017,,,Non-trade vocational education,Male,1.0,1.0,1.0,,,1.0,40 to 49 years,Under 12 Months,2017,4,Apr-17,Non-trade vocational education,Work Licensing
19025,5/08/2018,1880427J,150.0,WA ,12268,Stream C,Professional Services,9/05/2017,,,Non-trade vocational education,Male,1.0,1.0,,,,1.0,30 to 39 years,Under 12 Months,2017,5,May-17,Non-trade vocational education,Prof Service
19026,5/08/2018,2015153J,150.0,WA ,12268,Stream C,Professional Services,6/06/2017,,,Non-trade vocational education,Male,1.0,1.0,,,,1.0,30 to 39 years,Under 12 Months,2017,6,Jun-17,Non-trade vocational education,Prof Service
19027,5/08/2018,2069113J,49.0,WA ,12268,Stream C,"Tools, Books, Equipment and Mobile Phones",21/06/2017,,,Non-trade vocational education,Male,1.0,1.0,,,,1.0,30 to 39 years,Under 12 Months,2017,6,Jun-17,Non-trade vocational education,Other Items
19028,5/08/2018,2076546J,22.0,WA ,12268,Stream C,"Food, Phone and Petrol Cards/Vouchers",21/06/2017,,,Non-trade vocational education,Male,1.0,1.0,,,,1.0,30 to 39 years,Under 12 Months,2017,6,Jun-17,Non-trade vocational education,Cash Cards/Vouchers
19029,5/08/2018,1664692J,85.0,WA ,12268,Stream A,Clothing and Presentation,7/03/2017,,,Non-trade vocational education,Male,1.0,1.0,,,,1.0,30 to 39 years,Under 12 Months,2017,3,Mar-17,Non-trade vocational education,Clothing
19136,5/08/2018,2011890J,11.0,NSW,12348,Stream C,"Food, Phone and Petrol Cards/Vouchers",8/05/2017,,,Primary school or less than Year 10,Female,1.0,1.0,1.0,,,1.0,40 to 49 years,60+ Months,2017,5,May-17,<Year 10,Cash Cards/Vouchers
19137,5/08/2018,2011889J,39.0,NSW,12348,Stream C,Work Related Items,8/05/2017,,,Primary school or less than Year 10,Female,1.0,1.0,1.0,,,1.0,40 to 49 years,60+ Months,2017,5,May-17,<Year 10,Work Items
19138,5/08/2018,2124081J,137.5,NSW,12348,Stream C,Professional Services,29/06/2017,,,Primary school or less than Year 10,Female,1.0,1.0,1.0,,,1.0,40 to 49 years,60+ Months,2017,6,Jun-17,<Year 10,Prof Service
19139,5/08/2018,2124073J,137.5,NSW,12348,Stream C,Professional Services,29/06/2017,,,Primary school or less than Year 10,Female,1.0,1.0,1.0,,,1.0,40 to 49 years,60+ Months,2017,6,Jun-17,<Year 10,Prof Service
19797,5/08/2018,1677216J,150.0,WA ,12785,Stream C,Professional Services,21/03/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,40 to 49 years,60+ Months,2017,3,Mar-17,<Year 10,Prof Service
19798,5/08/2018,1601730J,150.0,WA ,12785,Stream C,Professional Services,28/02/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,40 to 49 years,60+ Months,2017,2,Feb-17,<Year 10,Prof Service
19799,5/08/2018,1498813J,150.0,WA ,12785,Stream C,Professional Services,31/01/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,40 to 49 years,60+ Months,2017,1,Jan-17,<Year 10,Prof Service
19800,5/08/2018,1557187J,39.0,WA ,12785,Stream C,"Tools, Books, Equipment and Mobile Phones",9/02/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,40 to 49 years,60+ Months,2017,2,Feb-17,<Year 10,Other Items
19801,5/08/2018,1452830J,150.0,WA ,12785,Stream C,Professional Services,17/01/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,40 to 49 years,60+ Months,2017,1,Jan-17,<Year 10,Prof Service
20005,5/08/2018,1683031J,150.0,NSW,12948,Stream C,Professional Services,22/03/2017,,,Primary school or less than Year 10,Male,1.0,1.0,1.0,,,1.0,Under 22 years,24 to 59 Months,2017,3,Mar-17,<Year 10,Prof Service
20006,5/08/2018,1683030J,150.0,NSW,12948,Stream C,Professional Services,21/03/2017,,,Primary school or less than Year 10,Male,1.0,1.0,1.0,,,1.0,Under 22 years,24 to 59 Months,2017,3,Mar-17,<Year 10,Prof Service
20007,5/08/2018,1661221J,150.0,NSW,12948,Stream C,Professional Services,14/03/2017,,,Primary school or less than Year 10,Male,1.0,1.0,1.0,,,1.0,Under 22 years,24 to 59 Months,2017,3,Mar-17,<Year 10,Prof Service
20008,5/08/2018,1727777J,150.0,NSW,12948,Stream C,Professional Services,29/03/2017,,,Primary school or less than Year 10,Male,1.0,1.0,1.0,,,1.0,Under 22 years,24 to 59 Months,2017,3,Mar-17,<Year 10,Prof Service
20320,5/08/2018,1795988J,550.0,WA ,13160,Stream C,Targeted Pre-Employment Preparation,6/04/2017,Non-Accredited Education and Training (Vocational),Pre-Employment Training,Secondary schooling completed (Year 12/13),Male,1.0,1.0,,,,1.0,25 to 29 years,24 to 59 Months,2017,4,Apr-17,Year 12/13,Pre-Employ Prep
20321,5/08/2018,2131514J,44.91,WA ,13160,Stream C,Work Related Items,1/05/2017,,,Secondary schooling completed (Year 12/13),Male,1.0,1.0,,,,1.0,25 to 29 years,24 to 59 Months,2017,5,May-17,Year 12/13,Work Items
20464,5/08/2018,1508241J,94.05,WA ,13284,Stream C,Professional Services,19/01/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,40 to 49 years,12 to 23 Months,2017,1,Jan-17,Year 10/11,Prof Service
20465,5/08/2018,1619624J,94.05,WA ,13284,Stream C,Professional Services,31/01/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,40 to 49 years,12 to 23 Months,2017,1,Jan-17,Year 10/11,Prof Service
20467,5/08/2018,1753627J,94.05,WA ,13284,Stream C,Professional Services,31/03/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,40 to 49 years,12 to 23 Months,2017,3,Mar-17,Year 10/11,Prof Service
20468,5/08/2018,1646100J,94.05,WA ,13284,Stream C,Professional Services,28/02/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,40 to 49 years,12 to 23 Months,2017,2,Feb-17,Year 10/11,Prof Service
20469,5/08/2018,2053012J,49.5,WA ,13284,Stream C,Work Related Items,31/05/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,40 to 49 years,12 to 23 Months,2017,5,May-17,Year 10/11,Work Items
20470,5/08/2018,2045408J,94.05,WA ,13284,Stream C,Professional Services,31/05/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,40 to 49 years,12 to 23 Months,2017,5,May-17,Year 10/11,Prof Service
20551,5/08/2018,2029844J,125.4,QLD,13349,Stream B,Professional Services,6/06/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,30 to 39 years,24 to 59 Months,2017,6,Jun-17,<Year 10,Prof Service
20552,5/08/2018,2096283J,125.4,QLD,13349,Stream B,Professional Services,13/06/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,30 to 39 years,24 to 59 Months,2017,6,Jun-17,<Year 10,Prof Service
20553,5/08/2018,1964842J,125.4,QLD,13349,Stream B,Professional Services,23/05/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,30 to 39 years,24 to 59 Months,2017,5,May-17,<Year 10,Prof Service
20598,5/08/2018,1750082J,150.0,WA ,13376,Stream C,Professional Services,5/04/2017,,,Primary school or less than Year 10,Male,1.0,1.0,1.0,,,1.0,40 to 49 years,60+ Months,2017,4,Apr-17,<Year 10,Prof Service
20601,5/08/2018,1454810J,52.25,WA ,13376,Stream C,"Food, Phone and Petrol Cards/Vouchers",19/01/2017,,,Primary school or less than Year 10,Male,1.0,1.0,1.0,,,1.0,40 to 49 years,60+ Months,2017,1,Jan-17,<Year 10,Cash Cards/Vouchers
20602,5/08/2018,1730354J,52.25,WA ,13376,Stream C,"Food, Phone and Petrol Cards/Vouchers",31/03/2017,,,Primary school or less than Year 10,Male,1.0,1.0,1.0,,,1.0,40 to 49 years,60+ Months,2017,3,Mar-17,<Year 10,Cash Cards/Vouchers
